Date,Time,Open,High,Low,Close,Volume
2022-11-18,0:0,62837.0,63104.0,62677.0,62924.0,592.0
2022-11-17,0:0,62608.0,62936.0,62487.0,62873.0,204.0
2022-11-16,0:0,62969.0,62969.0,62348.0,62653.0,124.0
2022-11-15,0:0,63086.0,63086.0,62652.0,62999.0,97.0
2022-11-14,0:0,62881.0,63180.0,62545.0,63180.0,121.0
2022-11-11,0:0,62900.0,63189.0,62662.0,62872.0,245.0
2022-11-10,0:0,64005.0,64050.0,62401.0,63009.0,327.0
2022-11-9,0:0,63284.0,64006.0,63251.0,64004.0,211.0
2022-11-8,0:0,63279.0,63612.0,62960.0,63226.0,181.0
2022-11-7,0:0,63877.0,63877.0,62996.0,63266.0,280.0
2022-11-3,0:0,64329.0,64547.0,63949.0,64097.0,174.0
2022-11-2,0:0,63530.0,64281.0,63530.0,64281.0,93.0
2022-11-1,0:0,63551.0,63822.0,63168.0,63410.0,119.0
2022-10-31,0:0,64099.0,64433.0,63453.0,63575.0,196.0
2022-10-28,0:0,63748.0,64250.0,63684.0,64031.0,106.0
2022-10-27,0:0,62830.0,63747.0,62830.0,63747.0,107.0
2022-10-26,0:0,63875.0,63939.0,62898.0,63119.0,170.0
2022-10-25,0:0,63133.0,63786.0,62783.0,63770.0,276.0
2022-10-24,0:0,62898.0,63416.0,62835.0,63119.0,149.0
2022-10-21,0:0,62929.0,63013.0,62440.0,62940.0,77.0
2022-10-20,0:0,62211.0,63097.0,62079.0,62807.0,137.0
2022-10-19,0:0,62651.0,62850.0,61737.0,62200.0,69.0
2022-10-18,0:0,62098.0,62673.0,62015.0,62485.0,99.0
2022-10-17,0:0,62582.0,62780.0,61871.0,62054.0,278.0
2022-10-14,0:0,63286.0,63630.0,62437.0,62450.0,158.0
2022-10-13,0:0,62443.0,63419.0,62331.0,63219.0,165.0
2022-10-12,0:0,62593.0,62872.0,60500.0,62668.0,548.0
2022-10-11,0:0,62300.0,63500.0,61592.0,62110.0,309.0
2022-10-10,0:0,61229.0,62969.0,61228.0,62269.0,293.0
2022-10-7,0:0,62044.0,63058.0,60501.0,60649.0,262.0
2022-10-6,0:0,62034.0,62216.0,61399.0,62158.0,167.0
2022-10-5,0:0,60000.0,62186.0,59710.0,62000.0,279.0
2022-10-4,0:0,60683.0,61121.0,60000.0,60199.0,213.0
2022-10-3,0:0,60854.0,61400.0,59150.0,60590.0,419.0
2022-9-30,0:0,60489.0,61189.0,54609.0,61002.0,1434.0
2022-9-29,0:0,62203.0,62740.0,60226.0,60486.0,289.0
2022-9-28,0:0,63505.0,63921.0,61921.0,62202.0,124.0
2022-9-27,0:0,63721.0,63804.0,63215.0,63499.0,375.0
2022-9-26,0:0,63800.0,64270.0,62952.0,63895.0,244.0
2022-9-23,0:0,65101.0,65493.0,62910.0,63606.0,395.0
2022-9-22,0:0,66849.0,66900.0,64800.0,65250.0,223.0
2022-9-21,0:0,66990.0,69079.0,66450.0,66701.0,237.0
2022-9-20,0:0,65617.0,67200.0,65400.0,67000.0,541.0
2022-9-19,0:0,66183.0,66339.0,65573.0,65609.0,286.0
2022-9-16,0:0,66777.0,66866.0,66046.0,66111.0,457.0
2022-9-15,0:0,66600.0,67000.0,65948.0,66776.0,193.0
2022-9-14,0:0,66965.0,66977.0,66400.0,66649.0,188.0
2022-9-13,0:0,67359.0,67373.0,66690.0,67098.0,140.0
2022-9-12,0:0,68029.0,68110.0,67230.0,67270.0,112.0
2022-9-9,0:0,68298.0,68298.0,67748.0,67869.0,132.0
2022-9-8,0:0,68795.0,68795.0,68277.0,68300.0,40.0
2022-9-7,0:0,69508.0,69508.0,68378.0,68581.0,100.0
2022-9-6,0:0,69110.0,69110.0,68900.0,69034.0,51.0
2022-9-5,0:0,68706.0,69987.0,68580.0,69356.0,104.0
2022-9-2,0:0,68588.0,69041.0,68382.0,68904.0,77.0
2022-9-1,0:0,68393.0,68803.0,68139.0,68589.0,47.0
2022-8-31,0:0,67656.0,68573.0,67656.0,67897.0,41.0
2022-8-30,0:0,68445.0,68802.0,67711.0,67991.0,41.0
2022-8-29,0:0,68601.0,68800.0,68277.0,68403.0,49.0
2022-8-26,0:0,68409.0,68890.0,68200.0,68562.0,39.0
2022-8-25,0:0,68700.0,68728.0,68299.0,68660.0,313.0
2022-8-24,0:0,69100.0,69201.0,68523.0,68690.0,27.0
2022-8-23,0:0,68775.0,69000.0,68411.0,68750.0,44.0
2022-8-22,0:0,67950.0,70075.0,67950.0,68518.0,95.0
2022-8-19,0:0,68120.0,68284.0,67166.0,67650.0,87.0
2022-8-18,0:0,69118.0,69835.0,68120.0,68264.0,65.0
2022-8-17,0:0,69815.0,70158.0,68901.0,69388.0,75.0
2022-8-16,0:0,70572.0,70572.0,69850.0,69999.0,17.0
2022-8-15,0:0,69397.0,71084.0,69397.0,70603.0,37.0
2022-8-12,0:0,70080.0,70528.0,69446.0,70098.0,47.0
2022-8-11,0:0,70129.0,70282.0,69957.0,70081.0,18.0
2022-8-10,0:0,69829.0,70613.0,69760.0,70047.0,59.0
2022-8-9,0:0,70875.0,70888.0,69800.0,69861.0,81.0
2022-8-8,0:0,70685.0,71999.0,69877.0,70850.0,106.0
2022-8-5,0:0,70011.0,71195.0,69991.0,71005.0,108.0
2022-8-4,0:0,70900.0,71100.0,69352.0,69764.0,138.0
2022-8-3,0:0,69443.0,70369.0,69159.0,69999.0,108.0
2022-8-2,0:0,69555.0,70380.0,69002.0,70300.0,134.0
2022-8-1,0:0,71031.0,72446.0,68454.0,69400.0,401.0
2022-7-29,0:0,70000.0,74999.0,69280.0,71031.0,184.0
2022-7-28,0:0,68542.0,70186.0,68455.0,69620.0,246.0
2022-7-27,0:0,71010.0,71010.0,68600.0,68650.0,379.0
2022-7-26,0:0,67490.0,71976.0,66958.0,71062.0,694.0
2022-7-25,0:0,65938.0,67370.0,65850.0,67370.0,263.0
2022-7-22,0:0,64952.0,66933.0,64700.0,65960.0,158.0
2022-7-21,0:0,63093.0,66709.0,63050.0,64830.0,304.0
2022-7-20,0:0,63431.0,64160.0,62521.0,63020.0,158.0
2022-7-19,0:0,65065.0,65247.0,63331.0,63526.0,152.0
2022-7-18,0:0,66020.0,66498.0,65200.0,65250.0,57.0
2022-7-15,0:0,68062.0,68192.0,66255.0,66410.0,85.0
2022-7-14,0:0,67001.0,67900.0,66300.0,67900.0,44.0
2022-7-13,0:0,67800.0,68400.0,66098.0,67136.0,63.0
2022-7-12,0:0,67201.0,68185.0,66060.0,67800.0,129.0
2022-7-11,0:0,69791.0,70500.0,67499.0,67700.0,66.0
2022-7-8,0:0,69148.0,69969.0,68345.0,69969.0,140.0
2022-7-7,0:0,72232.0,72232.0,69577.0,69930.0,217.0
2022-7-6,0:0,70063.0,73000.0,70063.0,72500.0,463.0
2022-7-5,0:0,66214.0,70458.0,66214.0,70370.0,237.0
2022-7-4,0:0,66799.0,66799.0,64776.0,66256.0,122.0
2022-7-1,0:0,61600.0,66620.0,61600.0,65444.0,310.0
2022-6-30,0:0,64934.0,65921.0,62471.0,62500.0,164.0
2022-6-29,0:0,62793.0,65776.0,60247.0,65755.0,337.0
2022-6-28,0:0,65739.0,66301.0,63000.0,63000.0,310.0
2022-6-27,0:0,68832.0,68832.0,66380.0,66400.0,96.0
2022-6-24,0:0,68168.0,68440.0,67902.0,67973.0,84.0
2022-6-23,0:0,67988.0,68908.0,67800.0,68115.0,131.0
2022-6-22,0:0,69181.0,69527.0,68325.0,68325.0,160.0
2022-6-21,0:0,70300.0,70501.0,69603.0,69700.0,92.0
2022-6-20,0:0,71112.0,71118.0,70316.0,70783.0,99.0
2022-6-17,0:0,70603.0,71900.0,70501.0,71200.0,108.0
2022-6-16,0:0,70661.0,72500.0,70657.0,71200.0,119.0
2022-6-15,0:0,70657.0,73440.0,70300.0,70990.0,99.0
2022-6-14,0:0,70151.0,71666.0,68004.0,71022.0,232.0
2022-6-10,0:0,73925.0,73925.0,70150.0,70502.0,212.0
2022-6-9,0:0,71306.0,74000.0,70800.0,72550.0,206.0
2022-6-8,0:0,72122.0,72900.0,71779.0,72268.0,102.0
2022-6-7,0:0,73200.0,73200.0,72001.0,72905.0,40.0
2022-6-6,0:0,72010.0,73580.0,72006.0,72747.0,68.0
2022-6-3,0:0,73900.0,74698.0,72787.0,73089.0,140.0
2022-6-2,0:0,73454.0,73591.0,73270.0,73500.0,53.0
2022-6-1,0:0,73899.0,73899.0,72500.0,73080.0,54.0
2022-5-31,0:0,72000.0,74778.0,71550.0,73307.0,140.0
2022-5-30,0:0,76696.0,77443.0,72300.0,72810.0,335.0
2022-5-27,0:0,74048.0,79000.0,73926.0,77669.0,285.0
2022-5-26,0:0,74527.0,77499.0,70671.0,75662.0,539.0
2022-5-25,0:0,67923.0,71078.0,67553.0,71050.0,197.0
2022-5-24,0:0,67568.0,68731.0,67537.0,67931.0,69.0
2022-5-23,0:0,69500.0,71440.0,67781.0,68584.0,159.0
2022-5-20,0:0,72108.0,73600.0,68794.0,71010.0,344.0
2022-5-19,0:0,73000.0,79292.0,71701.0,72202.0,158.0
2022-5-18,0:0,73903.0,74263.0,72606.0,73265.0,35.0
2022-5-17,0:0,74041.0,74587.0,73070.0,73998.0,44.0
2022-5-16,0:0,73010.0,74700.0,72602.0,73356.0,98.0
2022-5-13,0:0,74252.0,76870.0,74000.0,74280.0,152.0
2022-5-12,0:0,79030.0,79410.0,74719.0,74806.0,102.0
2022-5-11,0:0,81516.0,83250.0,79100.0,79700.0,96.0
2022-5-6,0:0,79737.0,83200.0,78827.0,80900.0,128.0
2022-5-5,0:0,80800.0,80895.0,79083.0,80527.0,128.0
2022-5-4,0:0,82560.0,88780.0,80893.0,81155.0,280.0
2022-4-29,0:0,86135.0,86236.0,84144.0,85150.0,144.0
2022-4-28,0:0,85687.0,86320.0,85500.0,85500.0,102.0
2022-4-27,0:0,86537.0,87102.0,85957.0,86210.0,54.0
2022-4-26,0:0,86056.0,86874.0,84904.0,86300.0,59.0
2022-4-25,0:0,87977.0,87977.0,86059.0,86137.0,96.0
2022-4-22,0:0,92000.0,92000.0,86250.0,88888.0,118.0
2022-4-21,0:0,89700.0,90879.0,86312.0,88499.0,110.0
2022-4-20,0:0,90121.0,90996.0,89470.0,89790.0,119.0
2022-4-19,0:0,91018.0,93500.0,91005.0,91005.0,95.0
2022-4-18,0:0,94630.0,94630.0,91700.0,92831.0,118.0
2022-4-15,0:0,95343.0,95343.0,93251.0,93518.0,110.0
2022-4-14,0:0,94808.0,95900.0,94367.0,94382.0,152.0
2022-4-13,0:0,94282.0,96474.0,93030.0,93351.0,96.0
2022-4-12,0:0,94999.0,96177.0,93001.0,94003.0,101.0
2022-4-11,0:0,94873.0,98233.0,93000.0,94999.0,344.0
2022-4-8,0:0,93050.0,93368.0,85632.0,90534.0,457.0
2022-4-7,0:0,97522.0,100489.0,93000.0,93500.0,445.0
2022-4-6,0:0,100925.0,102076.0,98244.0,98586.0,157.0
2022-4-5,0:0,101838.0,102611.0,100721.0,102050.0,92.0
2022-4-4,0:0,104139.0,104365.0,100535.0,101305.0,91.0
2022-4-1,0:0,102900.0,102900.0,98500.0,101859.0,217.0
2022-3-31,0:0,96113.0,101434.0,95031.0,99698.0,138.0
2022-3-30,0:0,96845.0,101985.0,96845.0,97770.0,177.0
2022-3-29,0:0,105499.0,105500.0,96721.0,100207.0,292.0
2022-3-28,0:0,111848.0,118148.0,106000.0,106500.0,126.0
2022-3-25,0:0,113085.0,115740.0,111528.0,113999.0,94.0
2022-3-24,0:0,114492.0,121100.0,110988.0,114501.0,132.0
2022-3-23,0:0,123971.0,126225.0,115161.0,117197.0,262.0
2022-3-22,0:0,125873.0,126220.0,123201.0,123390.0,146.0
2022-3-21,0:0,130179.0,130433.0,126225.0,126225.0,94.0
2022-3-18,0:0,129256.0,130500.0,124484.0,129869.0,132.0
2022-3-17,0:0,134460.0,134460.0,124000.0,129980.0,262.0
2022-3-11,0:0,148872.0,156631.0,148170.0,156410.0,38.0
2022-3-10,0:0,155334.0,163993.0,154370.0,154370.0,21.0
2022-3-9,0:0,167000.0,181000.0,158500.0,160000.0,91.0
2022-3-4,0:0,167000.0,167000.0,167000.0,167000.0,1.0
2022-3-3,0:0,154000.0,187250.0,154000.0,177000.0,32.0
2022-3-2,0:0,144444.0,154900.0,140000.0,154900.0,34.0
2022-2-25,0:0,97504.0,98307.0,93900.0,96494.0,73.0
2022-2-24,0:0,91071.0,105104.0,91071.0,99164.0,234.0
2022-2-23,0:0,88250.0,91000.0,88026.0,90300.0,77.0
2022-2-22,0:0,89423.0,90307.0,87886.0,87904.0,239.0
2022-2-21,0:0,85662.0,90000.0,85156.0,90000.0,185.0
2022-2-18,0:0,84784.0,86300.0,84500.0,85661.0,105.0
2022-2-17,0:0,84782.0,85344.0,84000.0,85344.0,42.0
2022-2-16,0:0,84309.0,84962.0,83668.0,83668.0,27.0
2022-2-15,0:0,85047.0,85654.0,84500.0,84846.0,121.0
2022-2-14,0:0,86677.0,87000.0,84500.0,85633.0,100.0
2022-2-11,0:0,84446.0,86000.0,84250.0,86000.0,231.0
2022-2-10,0:0,83925.0,84446.0,83650.0,84374.0,39.0
2022-2-9,0:0,84387.0,84422.0,83701.0,83701.0,31.0
2022-2-8,0:0,84550.0,84667.0,84200.0,84446.0,9.0
2022-2-7,0:0,84999.0,85186.0,84675.0,84675.0,33.0
2022-2-4,0:0,85374.0,85567.0,85000.0,85000.0,13.0
2022-2-3,0:0,85589.0,85597.0,85374.0,85597.0,21.0
2022-2-2,0:0,85970.0,85970.0,85005.0,85300.0,43.0
2022-2-1,0:0,86501.0,86543.0,85701.0,85900.0,48.0
2022-1-31,0:0,86502.0,86502.0,86502.0,86502.0,1.0
